	FusionPair	Label	Version	5pCommonName	Chr5p	Coord5p	5pStrand	3pCommonName	Chr3p	Coord3p	3pStrand
0	THRA_THRA1/BTR	1	grch38	THRA	17	40086853	+	THRA1/BTR	17	48294347	+
1	ACACA_STAC2	1	grch38	ACACA	17	37122531	-	STAC2	17	39218173	-
2	RPS6KB1_SNF8	1	grch38	RPS6KB1	17	59893325	+	SNF8	17	48943975	-
3	THRA_THRA1/BTR	1	grch38	THRA	17	40086853	+	THRA1/BTR	17	48307331	+
4	TOB1_SYNRG	1	grch38	TOB1	17	50866058	-	SYNRG	17	37520648	-
5	VAPB_IKZF3	1	grch38	VAPB	20	58389517	+	IKZF3	17	39777767	-
6	MED1_ACSF2	1	grch38	MED1	17	39439165	-	ACSF2	17	50471028	+
7	FP236383.2_MTCO2P12	1	grch38	FP236383.2	21	8394058	-	MTCO2P12	1	633378	+
8	MED1_STXBP4	1	grch38	MED1	17	39451038	-	STXBP4	17	55141310	+
9	AHCTF1_NAAA	1	grch38	AHCTF1	1	246931578	-	NAAA	4	75925811	-
10	RAB22A_MYO9B	1	grch38	RAB22A	20	58311122	+	MYO9B	19	17145397	+
11	VAPB_IKZF3	1	grch38	VAPB	20	58389517	+	IKZF3	17	39788374	-
12	STX16_RAE1	1	grch38	STX16	20	58652087	+	RAE1	20	57354032	+
13	ZMYND8_CEP250	1	grch38	ZMYND8	20	47224317	-	CEP250	20	35490637	+
14	AHCTF1_NAAA	1	grch38	AHCTF1	1	246931129	-	NAAA	4	75925811	-
15	BRD4_RFX1	1	grch38	BRD4	19	15332290	-	RFX1	19	13983595	-
16	BRD4_RFX1	1	grch38	BRD4	19	15332290	-	RFX1	19	13993895	-
17	BRD4_RFX1	1	grch38	BRD4	19	15332290	-	RFX1	19	13998317	-
18	SKA2_MYO19	1	grch38	SKA2	17	59155131	-	MYO19	17	36507924	-
19	STARD3_DOK5	1	grch38	STARD3	17	39637231	+	DOK5	20	54643458	+
20	MED13_BCAS3	1	grch38	MED13	17	62052537	-	BCAS3	17	61388618	+
21	MED13_BCAS3	1	grch38	MED13	17	62052537	-	BCAS3	17	61391977	+
22	AC025048.4_HEATR6	1	grch38	AC025048.4	17	60079472	+	HEATR6	17	60059521	-
23	ASTN2_AL354754.1	1	grch38	ASTN2	9	117291326	-	AL354754.1	9	117870227	-
24	TRPC4AP_MRPL45	1	grch38	TRPC4AP	20	35078046	-	MRPL45	17	38322126	+
25	DIDO1_TTI1	1	grch38	DIDO1	20	62937796	-	TTI1	20	38006397	-
26	LAMP1_MCF2L	1	grch38	LAMP1	13	113297495	+	MCF2L	13	113064304	+
27	SKA2_MYO19	1	grch38	SKA2	17	59155131	-	MYO19	17	36507512	-
28	GLB1_CMTM7	1	grch38	GLB1	3	33014056	-	CMTM7	3	32449454	+
29	PIP4K2B_RAD51C	1	grch38	PIP4K2B	17	38777687	-	RAD51C	17	58732484	+
30	TRIM37_MYO19	1	grch38	TRIM37	17	59084002	-	MYO19	17	36507924	-
31	CPNE1_PI3	1	grch38	CPNE1	20	35655202	-	PI3	20	45175861	+
